,customerid,gender,seniorcitizen,partner,dependents,tenure,phoneservice,multiplelines,internetservice,onlinesecurity,onlinebackup,deviceprotection,techsupport,streamingtv,streamingmovies,contract,paperlessbilling,paymentmethod,monthlycharges,totalcharges,churn
397,6599-cebnn,female,0,0,0,34,1,no,fiber_optic,no,yes,no,no,no,no,month-to-month,1,credit_card_(automatic),73.95,2524.45,1
398,2519-erqoj,male,1,0,0,33,0,no_phone_service,dsl,no,no,yes,yes,yes,yes,month-to-month,1,electronic_check,54.6,1803.7,0
399,5876-qmyld,female,0,1,1,23,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,20.05,415.1,0
400,2277-axsdc,female,0,0,0,32,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,bank_transfer_(automatic),19.75,624.15,0
401,9442-jtwdl,female,0,0,0,11,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,credit_card_(automatic),20.05,237.7,0
402,0979-phulv,male,0,1,1,69,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,credit_card_(automatic),99.45,7007.6,1
403,3067-svmtc,female,0,1,0,68,1,no,dsl,yes,no,no,yes,no,no,one_year,0,bank_transfer_(automatic),55.9,3848.8,0
404,5495-gpsrw,male,0,0,0,20,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,mailed_check,19.7,419.4,0
405,7606-bphhn,male,0,0,0,72,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,credit_card_(automatic),19.8,1468.75,0
406,4742-drora,male,0,1,1,60,1,yes,fiber_optic,yes,no,yes,no,yes,no,one_year,1,bank_transfer_(automatic),95.4,5812.0,0
407,0111-klbqg,male,1,1,1,32,1,no,fiber_optic,no,yes,no,no,yes,yes,month-to-month,1,mailed_check,93.95,2861.45,0
408,4800-vhzki,female,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,1,mailed_check,19.9,19.9,1
409,7989-chgtl,male,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,1,mailed_check,19.6,19.6,1
410,0334-gddso,male,1,0,0,3,1,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,1,electronic_check,81.35,233.7,1
411,4163-ncjak,female,0,1,0,46,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,1,bank_transfer_(automatic),24.45,1066.15,0
412,5233-aozuf,female,0,1,0,29,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,74.95,2149.05,0
413,5973-ejgdp,male,0,0,0,51,1,yes,fiber_optic,no,yes,yes,yes,no,no,month-to-month,1,electronic_check,87.35,4473.0,0
414,1996-dbmus,female,1,1,0,48,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),70.65,3545.05,0
415,7916-vccpb,female,0,1,1,16,1,no,fiber_optic,no,yes,no,no,no,no,month-to-month,0,bank_transfer_(automatic),73.25,1195.75,0
416,4686-gefrm,male,0,1,0,70,1,yes,fiber_optic,no,yes,yes,yes,no,yes,two_year,1,bank_transfer_(automatic),98.7,6858.9,0
417,5249-qyhex,female,0,1,1,40,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,mailed_check,24.8,1024.7,0
418,0578-skvmf,female,0,1,1,22,1,no,fiber_optic,no,yes,no,no,no,yes,month-to-month,0,electronic_check,83.3,1845.9,1
419,5564-nemqo,female,1,0,0,1,1,no,fiber_optic,no,no,yes,no,no,no,month-to-month,1,bank_transfer_(automatic),75.3,75.3,1
420,2233-fagxv,female,0,1,1,5,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,1,mailed_check,24.3,132.25,0
421,5605-iygfg,female,0,0,0,7,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),69.85,515.45,0
422,7663-ztegj,male,0,0,1,29,1,yes,fiber_optic,no,yes,yes,yes,no,yes,one_year,0,credit_card_(automatic),100.55,2830.45,0
423,3935-tbrzz,male,0,1,1,44,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,25.7,1110.5,0
424,8111-bkvds,female,0,0,0,10,0,no_phone_service,dsl,yes,yes,yes,no,no,no,month-to-month,0,bank_transfer_(automatic),40.7,449.3,0
425,2055-sifss,female,1,1,0,55,1,yes,dsl,no,no,no,no,no,no,month-to-month,0,bank_transfer_(automatic),51.65,2838.55,0
426,2806-mlnti,male,1,1,0,52,1,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,1,bank_transfer_(automatic),105.1,5376.4,0
427,8734-dkstz,female,0,1,1,10,1,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,0,electronic_check,85.95,858.6,0
428,4360-pnrqb,male,0,0,0,18,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),75.6,1395.05,0
429,6152-onasv,female,0,1,0,68,1,yes,dsl,yes,no,no,yes,no,no,one_year,0,bank_transfer_(automatic),58.25,3975.7,0
430,9063-zgtuy,female,0,1,1,61,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,1,mailed_check,19.4,1182.55,1
431,7781-hvgmk,female,0,1,1,72,0,no_phone_service,dsl,yes,yes,yes,yes,yes,yes,two_year,1,credit_card_(automatic),65.2,4784.45,0
432,2181-uaesm,male,0,0,0,2,1,no,dsl,yes,no,yes,no,no,no,month-to-month,0,electronic_check,53.45,119.5,0
433,2957-lolho,male,0,0,0,12,1,no,dsl,no,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),45.4,518.9,1
434,6048-njxhx,male,0,1,0,41,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,electronic_check,19.75,899.45,0
435,2320-slkmb,female,0,0,0,26,0,no_phone_service,dsl,no,no,yes,yes,yes,no,month-to-month,1,credit_card_(automatic),44.45,1183.8,0
436,4980-urkxc,male,0,1,0,36,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,bank_transfer_(automatic),20.85,720.05,0
437,4376-kfvrs,male,0,1,1,72,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,1,credit_card_(automatic),114.05,8468.2,0
438,5886-vlqvu,male,0,1,0,35,1,yes,fiber_optic,no,no,no,yes,no,yes,month-to-month,1,bank_transfer_(automatic),89.85,3161.2,0
439,3577-amvux,male,0,0,0,1,1,no,dsl,no,no,yes,yes,no,no,month-to-month,0,mailed_check,55.05,55.05,0
440,0771-wlcla,female,0,1,1,16,1,yes,fiber_optic,yes,no,yes,yes,yes,yes,month-to-month,1,electronic_check,112.95,1882.55,0
441,5628-rkifk,female,1,0,0,49,1,yes,fiber_optic,yes,no,no,no,yes,yes,month-to-month,0,credit_card_(automatic),101.55,5070.4,0
442,0206-tbwlc,female,0,1,0,54,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,1,mailed_check,114.65,6049.5,0
443,2937-fthur,female,0,0,1,18,1,yes,dsl,yes,no,no,no,no,yes,month-to-month,0,electronic_check,64.8,1166.7,0
444,1910-fmxjm,female,0,1,0,36,1,no,fiber_optic,no,no,no,no,no,yes,month-to-month,0,electronic_check,80.4,2937.65,0
445,7752-xusci,female,0,0,0,60,1,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic_check,105.9,6396.45,1
446,4110-pfeuz,female,0,0,0,1,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,0,mailed_check,69.55,69.55,1
447,0732-ocqoc,female,0,1,1,52,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,bank_transfer_(automatic),25.05,1270.25,0
448,5168-mswxt,male,0,1,1,8,1,no,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,electronic_check,94.75,759.55,0
449,1090-eselr,male,0,1,1,72,1,no,fiber_optic,yes,yes,no,yes,yes,yes,two_year,0,bank_transfer_(automatic),105.5,7611.55,0
450,8592-pltmq,female,0,0,0,64,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,24.7,1642.75,0
451,5760-wrahc,female,1,0,0,22,1,no,dsl,yes,no,yes,yes,no,yes,month-to-month,1,mailed_check,69.75,1545.4,0
452,8847-geooq,male,0,1,0,60,0,no_phone_service,dsl,no,yes,yes,yes,yes,yes,month-to-month,1,bank_transfer_(automatic),60.2,3582.4,0
453,0256-lthvj,female,0,1,1,28,1,no,fiber_optic,no,no,no,no,no,yes,month-to-month,1,electronic_check,81.05,2227.1,1
454,4785-fcifb,female,0,1,0,61,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,24.4,1417.9,0
455,8313-ndoia,female,0,0,0,24,1,yes,fiber_optic,no,yes,yes,no,yes,yes,month-to-month,1,electronic_check,104.15,2494.65,0
456,5149-cuzuj,male,0,1,1,28,1,no,fiber_optic,no,yes,yes,yes,yes,no,one_year,0,bank_transfer_(automatic),92.9,2768.35,0
457,0942-kowsm,female,0,1,1,30,1,no,dsl,no,yes,yes,yes,yes,yes,two_year,0,bank_transfer_(automatic),80.8,2369.3,0
458,4237-clsmm,male,0,1,0,2,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,20.0,38.0,0
459,1452-voqch,male,0,0,0,1,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,75.1,75.1,0
460,4719-umsiy,male,0,0,1,6,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,19.65,100.9,0
461,6614-vbegu,female,0,1,0,24,1,no,dsl,no,yes,no,no,yes,yes,month-to-month,1,bank_transfer_(automatic),69.45,1614.05,0
462,0880-tkatg,male,0,1,1,4,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,0,electronic_check,101.15,385.9,1
463,3811-vbybz,male,0,0,0,7,1,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,1,electronic_check,99.8,673.25,1
464,1480-bkxga,male,1,1,0,72,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),116.05,8404.9,0
465,2996-xauvf,male,0,0,0,70,0,no_phone_service,dsl,no,no,no,yes,no,yes,two_year,1,mailed_check,40.05,2799.75,0
466,9076-axyik,male,1,1,0,64,1,yes,fiber_optic,no,no,yes,yes,yes,yes,two_year,0,electronic_check,102.1,6538.45,0
467,5968-xqive,male,0,1,1,72,1,yes,fiber_optic,no,yes,no,no,yes,no,one_year,1,electronic_check,89.7,6588.95,0
468,8896-razcr,female,0,0,1,44,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,19.9,868.1,0
469,4640-uhdos,female,0,1,1,13,1,no,dsl,no,no,no,no,no,yes,month-to-month,0,electronic_check,55.95,734.35,1
470,4933-ikulf,female,1,0,0,17,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,one_year,0,mailed_check,20.65,330.6,0
471,3583-ekapl,male,0,0,0,1,1,no,dsl,no,no,no,no,no,yes,month-to-month,1,electronic_check,55.0,55.0,1
472,1304-bccfo,male,0,1,0,9,1,no,dsl,no,no,yes,no,yes,yes,month-to-month,1,mailed_check,70.05,564.4,0
473,4104-pvrps,male,0,1,0,24,1,no,dsl,yes,no,no,yes,no,no,month-to-month,0,mailed_check,53.6,1315.35,0
474,9399-aplbt,female,0,1,1,1,1,no,fiber_optic,no,yes,no,no,no,no,month-to-month,1,electronic_check,74.7,74.7,1
475,2359-kmgli,male,0,0,0,24,1,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,1,electronic_check,80.25,1861.5,1
476,3780-ddgse,male,1,1,1,35,1,no,dsl,no,yes,no,yes,yes,yes,month-to-month,1,electronic_check,76.05,2747.2,0
477,4431-edmiq,female,0,1,1,7,1,no,dsl,yes,yes,yes,yes,yes,no,month-to-month,1,electronic_check,75.7,554.05,0
478,0306-jaele,male,0,0,0,5,1,no,fiber_optic,no,no,no,yes,yes,yes,month-to-month,1,electronic_check,96.1,453.4,1
479,6227-hwpwx,female,0,0,1,15,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,0,bank_transfer_(automatic),69.0,994.8,1
480,0486-lgcch,male,0,1,1,11,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,19.65,225.75,0
481,0447-bemng,female,0,1,0,48,0,no_phone_service,dsl,yes,no,yes,no,no,yes,month-to-month,1,bank_transfer_(automatic),45.3,2145.0,1
482,4612-ssvhj,female,1,0,0,20,1,no,fiber_optic,no,no,no,no,no,yes,month-to-month,1,electronic_check,81.45,1671.6,0
483,5168-mqqca,female,0,1,0,72,1,yes,fiber_optic,no,yes,yes,yes,yes,yes,one_year,1,bank_transfer_(automatic),108.5,8003.8,0
484,5949-xikae,female,0,1,1,8,1,no,fiber_optic,no,yes,no,no,yes,no,month-to-month,1,electronic_check,83.55,680.05,1
485,7971-hlvxi,male,0,1,1,72,1,yes,fiber_optic,no,no,no,no,no,yes,two_year,1,credit_card_(automatic),84.5,6130.85,0
486,9094-azphk,female,0,0,0,15,1,yes,fiber_optic,no,yes,no,no,yes,yes,month-to-month,1,electronic_check,100.15,1415.0,0
487,3649-jpugy,male,0,0,0,72,1,yes,dsl,no,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),88.6,6201.95,0
488,4472-lvygi,female,0,1,1,0,0,no_phone_service,dsl,yes,no,yes,yes,yes,no,two_year,1,bank_transfer_(automatic),52.55,1397.475,0
489,8372-juxui,male,0,0,1,1,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,74.35,74.35,1
490,3552-ctcyf,male,0,1,1,63,1,yes,fiber_optic,no,yes,yes,no,yes,yes,two_year,1,bank_transfer_(automatic),104.8,6597.25,0
491,6778-ysnih,female,0,0,0,2,1,no,dsl,no,yes,no,no,yes,no,month-to-month,1,electronic_check,59.0,114.15,0
492,0388-eopex,female,0,1,0,2,1,no,fiber_optic,yes,no,no,no,no,no,month-to-month,1,electronic_check,74.4,139.4,1
493,5756-ozrio,male,1,1,0,61,1,yes,dsl,no,yes,no,no,no,yes,one_year,0,bank_transfer_(automatic),64.05,3902.6,0
494,6579-jpicp,male,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,20.4,20.4,0
495,8205-otchb,male,0,0,0,22,0,no_phone_service,dsl,no,yes,yes,no,no,yes,one_year,1,bank_transfer_(automatic),43.75,903.6,1
496,4134-bsxlx,male,0,1,0,28,1,no,dsl,yes,yes,no,yes,no,no,month-to-month,0,mailed_check,60.9,1785.65,0
497,0505-spoow,female,0,1,0,70,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),19.8,1397.65,0
498,6235-vdhom,female,1,0,0,5,0,no_phone_service,dsl,no,yes,no,no,no,no,month-to-month,0,electronic_check,28.45,131.05,1
499,7783-ykgdv,female,0,0,0,12,1,yes,fiber_optic,yes,yes,yes,no,no,yes,month-to-month,1,bank_transfer_(automatic),99.7,1238.45,1
500,4374-ymusq,male,0,0,0,34,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,one_year,0,credit_card_(automatic),116.25,3899.05,0
501,4513-cxyix,female,1,1,0,71,1,yes,fiber_optic,yes,no,no,no,no,no,two_year,1,credit_card_(automatic),80.7,5676.0,0
502,3957-hhlmr,female,0,1,1,70,1,yes,dsl,yes,no,no,no,no,yes,one_year,0,bank_transfer_(automatic),65.2,4543.15,0
503,7803-xoccz,female,0,1,1,52,1,no,fiber_optic,yes,no,yes,yes,no,no,month-to-month,1,bank_transfer_(automatic),84.05,4326.8,0
504,5736-yejax,male,0,0,1,69,1,yes,dsl,yes,yes,yes,yes,yes,no,two_year,1,credit_card_(automatic),79.45,5502.55,0
505,5609-cebid,female,1,0,0,20,1,yes,fiber_optic,no,yes,yes,no,no,yes,month-to-month,1,electronic_check,94.1,1782.4,1
506,8981-fjgla,male,0,0,1,11,1,yes,fiber_optic,no,no,yes,no,no,no,month-to-month,1,mailed_check,78.0,851.8,0
507,7218-hkqfk,male,0,1,0,2,1,no,fiber_optic,no,no,no,yes,yes,yes,month-to-month,1,electronic_check,94.2,167.5,1
508,4636-qrjky,female,0,1,1,6,1,yes,fiber_optic,no,no,no,yes,no,no,month-to-month,1,electronic_check,80.5,502.85,1
509,1135-lmecx,female,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,19.85,19.85,0
510,4332-muoez,male,1,1,1,20,1,no,fiber_optic,yes,no,yes,yes,no,yes,one_year,0,credit_card_(automatic),94.3,1818.3,0
511,8535-sfutn,male,0,0,0,61,1,yes,fiber_optic,yes,no,yes,no,yes,yes,month-to-month,1,electronic_check,106.45,6300.15,0
512,5956-vkdtt,female,1,1,0,5,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,74.35,334.8,1
513,8677-hdzee,female,0,0,0,56,1,yes,fiber_optic,no,yes,no,yes,yes,yes,month-to-month,1,bank_transfer_(automatic),105.45,5916.95,0
514,2475-mrozf,male,0,0,0,30,1,yes,fiber_optic,yes,yes,yes,yes,no,no,month-to-month,1,credit_card_(automatic),95.0,2852.4,0
515,9412-gheec,male,0,0,0,40,1,yes,fiber_optic,no,no,yes,yes,yes,yes,month-to-month,0,bank_transfer_(automatic),104.8,4131.95,1
516,3482-abpkk,female,0,0,0,28,1,no,dsl,yes,no,no,yes,no,no,one_year,0,mailed_check,54.3,1546.3,0
517,6705-lxorm,female,1,1,0,5,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,0,electronic_check,70.05,302.6,0
518,0257-zesqc,female,1,1,0,27,1,no,fiber_optic,yes,no,no,no,no,no,month-to-month,1,bank_transfer_(automatic),75.2,1929.35,1
519,7531-gqhme,male,0,0,0,12,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,credit_card_(automatic),20.05,265.45,0
520,5174-itumv,male,0,1,1,67,1,yes,fiber_optic,no,yes,yes,no,yes,yes,one_year,1,electronic_check,105.4,6989.45,0
521,4109-cyrbd,male,1,1,0,29,1,yes,dsl,no,no,no,no,no,no,month-to-month,1,electronic_check,51.6,1442.0,0
522,0913-xwscn,male,0,1,1,55,1,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,0,bank_transfer_(automatic),85.5,4713.4,0
523,6825-uypfk,female,0,0,0,23,1,yes,fiber_optic,no,no,no,no,no,no,month-to-month,0,bank_transfer_(automatic),75.6,1758.6,1
524,8397-mvtaz,male,0,1,0,34,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,electronic_check,100.05,3480.0,1
525,0750-ebaiu,male,0,0,0,52,1,no,fiber_optic,yes,no,yes,no,yes,no,one_year,0,electronic_check,91.25,4738.3,0
526,8606-ciqul,male,1,1,1,72,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,1,credit_card_(automatic),115.75,8399.15,0
527,3571-dpyuh,male,0,1,1,58,1,yes,fiber_optic,no,yes,no,yes,yes,no,one_year,1,credit_card_(automatic),94.7,5430.35,0
528,7601-gndyk,male,0,1,1,35,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,mailed_check,19.6,686.95,0
529,0356-obmac,female,1,0,0,56,1,yes,fiber_optic,no,yes,yes,yes,yes,no,two_year,1,bank_transfer_(automatic),99.9,5706.3,0
530,8067-nioym,female,0,1,1,24,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,credit_card_(automatic),21.1,490.65,0
531,1403-gyafu,male,0,1,1,70,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,credit_card_(automatic),20.05,1360.25,0
532,4234-xtnea,male,0,0,0,2,1,no,fiber_optic,no,no,no,no,yes,no,month-to-month,1,electronic_check,79.95,174.45,0
533,1297-vqdrp,male,1,1,1,68,1,yes,fiber_optic,no,no,yes,yes,yes,yes,one_year,1,credit_card_(automatic),107.15,7379.8,0
534,9282-izgqk,female,0,0,0,1,1,yes,fiber_optic,no,no,no,no,no,yes,month-to-month,1,electronic_check,85.0,85.0,1
535,5348-cagxb,male,0,0,0,12,1,yes,fiber_optic,no,no,yes,no,yes,no,month-to-month,1,electronic_check,89.55,1021.75,0
536,0621-hjwxj,female,0,1,0,63,1,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,1,bank_transfer_(automatic),81.55,5029.05,0
537,5844-qvtat,female,0,1,1,33,1,no,dsl,yes,yes,yes,no,no,no,one_year,1,mailed_check,58.45,1955.4,0
538,8905-iazpf,female,0,1,0,69,1,no,fiber_optic,no,yes,no,no,yes,yes,one_year,1,credit_card_(automatic),95.65,6744.2,0
539,5394-meitz,female,0,1,1,60,1,no,dsl,no,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),80.6,4946.7,0
540,6859-qnxiq,female,0,1,1,72,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),113.1,8248.5,0
541,2782-lfzvw,female,0,0,0,11,1,yes,dsl,no,no,no,no,no,yes,month-to-month,1,mailed_check,58.95,601.6,0
542,2866-ikbtm,female,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,19.55,19.55,0
543,1342-jpnki,male,0,0,0,10,1,yes,fiber_optic,no,no,no,no,yes,no,month-to-month,1,bank_transfer_(automatic),86.05,834.1,1
544,2817-ntqdo,male,0,0,0,13,0,no_phone_service,dsl,yes,no,no,yes,yes,no,month-to-month,1,credit_card_(automatic),45.55,597.0,1
545,7129-azjde,male,0,1,1,34,1,no,fiber_optic,no,no,no,no,no,yes,one_year,1,bank_transfer_(automatic),78.95,2647.2,0
546,6986-ijdhx,male,0,1,1,39,1,no,fiber_optic,no,yes,no,no,yes,no,month-to-month,1,mailed_check,86.3,3266.0,1
547,2560-ppche,female,0,0,0,65,1,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,1,bank_transfer_(automatic),105.05,6744.25,0
548,4676-mquea,male,1,1,0,50,1,yes,fiber_optic,yes,yes,yes,no,yes,no,one_year,1,bank_transfer_(automatic),101.9,5265.5,0
549,8138-ealnd,male,0,0,0,15,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,mailed_check,19.75,311.6,0
550,3580-hycsp,male,0,1,1,72,1,yes,fiber_optic,yes,yes,yes,no,yes,yes,two_year,1,bank_transfer_(automatic),110.3,7966.9,0
551,1352-hnsaw,female,0,1,1,72,1,yes,fiber_optic,yes,yes,yes,yes,yes,yes,two_year,1,bank_transfer_(automatic),115.6,8220.4,0
552,2075-puepr,male,0,1,1,55,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,0,bank_transfer_(automatic),19.35,1153.25,0
553,1982-febtd,female,0,1,1,23,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,credit_card_(automatic),25.6,514.75,0
554,5301-gauuy,male,0,0,0,32,1,yes,fiber_optic,no,yes,no,no,no,no,month-to-month,1,bank_transfer_(automatic),80.35,2596.15,1
555,5791-kajfd,female,0,1,1,56,1,yes,dsl,yes,no,yes,no,no,yes,one_year,1,bank_transfer_(automatic),68.75,3808.0,0
556,2654-vbvpb,female,0,0,0,1,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,0,bank_transfer_(automatic),19.9,19.9,0
557,1154-hywwo,male,0,0,0,38,1,no,dsl,yes,yes,no,yes,yes,no,one_year,0,mailed_check,70.6,2708.2,0
558,2501-xwwtz,male,0,0,0,11,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,0,electronic_check,70.2,760.05,0
559,3716-uvspd,male,0,0,0,1,1,no,dsl,no,no,no,yes,no,no,month-to-month,1,electronic_check,49.3,49.3,0
560,6815-abqfq,male,0,1,0,56,1,yes,fiber_optic,no,yes,no,yes,yes,yes,one_year,1,electronic_check,107.25,6033.3,0
561,7343-eobeu,male,0,1,0,3,1,yes,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,month-to-month,1,mailed_check,23.6,89.05,0
562,3701-sfmuh,male,0,1,1,7,1,no,dsl,yes,no,no,no,yes,yes,month-to-month,0,credit_card_(automatic),69.7,516.15,0
563,6103-lianb,male,0,1,1,59,1,yes,fiber_optic,no,no,yes,no,yes,yes,two_year,1,credit_card_(automatic),99.5,5861.75,0
564,7319-venrz,male,0,0,0,7,1,no,dsl,no,no,yes,yes,yes,no,month-to-month,0,bank_transfer_(automatic),64.3,445.95,0
565,5846-neqvz,male,0,1,1,71,1,no,dsl,yes,no,yes,yes,no,yes,two_year,1,credit_card_(automatic),70.85,4973.4,0
566,6967-qiqrv,male,0,1,1,15,1,no,fiber_optic,yes,no,no,yes,yes,yes,one_year,0,electronic_check,101.9,1667.25,0
567,5781-rfzrp,male,0,1,0,71,1,yes,dsl,yes,yes,no,yes,yes,no,two_year,0,credit_card_(automatic),73.5,5357.75,0
568,0939-yapaf,female,0,0,0,35,1,yes,fiber_optic,no,no,yes,no,yes,yes,month-to-month,1,electronic_check,100.25,3527.6,1
569,0308-ivgok,female,0,0,0,11,0,no_phone_service,dsl,no,yes,yes,yes,no,no,one_year,1,credit_card_(automatic),40.4,422.6,0
570,7293-lscdv,female,0,1,1,60,1,no,no,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,no_internet_service,two_year,1,credit_card_(automatic),19.25,1103.25,0
571,7025-wcbne,male,1,0,0,47,1,yes,dsl,no,yes,no,yes,no,no,two_year,0,bank_transfer_(automatic),59.6,2754.0,0
572,5756-jyojt,female,0,0,0,11,1,no,dsl,no,no,yes,yes,no,yes,one_year,0,credit_card_(automatic),64.9,697.25,0
573,4710-fduiz,male,0,1,0,56,1,yes,fiber_optic,no,yes,no,no,yes,yes,one_year,0,credit_card_(automatic),100.3,5614.45,1
574,6030-rehux,female,1,1,0,28,1,yes,fiber_optic,no,yes,yes,yes,yes,yes,month-to-month,1,electronic_check,110.85,3204.4,0
575,9548-ligta,male,0,1,0,61,1,no,dsl,yes,yes,no,yes,yes,yes,two_year,1,mailed_check,81.05,4747.65,0
576,5150-ljnsr,male,0,1,1,31,1,yes,fiber_optic,yes,no,yes,no,yes,no,one_year,0,bank_transfer_(automatic),98.05,3082.1,0
577,8270-rksap,male,0,0,0,9,1,no,fiber_optic,no,no,no,no,no,no,month-to-month,1,electronic_check,70.5,597.9,0
